,update_id,year,month,day,word
0,1,2020,4,16,"감소,스타,폭발,변경,면역,롤러,가젯,밸런스,폭탄,덩굴,울타리,여러분,특수,덤불,조정,씨앗,공격,피해,접촉,성장,의견,실드,스프라우트,내용,파워,대한,가량,잔디깍기,파괴,브롤러,범위"
1,2,2020,4,14,"업데이트,기능,미스터,서비스,변경,선택,개선,수정,가젯,조이스틱,직접,위치,로봇,폭탄,모드,최대,여러분,사용,사항,일반,조준,그림자,설정,씨앗,안내,공격,표시,고려,다운,진행,추가,의견,짐꾼,스프라우트,대한,적용,오류,알림,정상,사거리,파괴,상자,전달,문제,자동,체험,편집,그래픽,일부"
2,3,2020,4,7,"스파이크,친구,요술,롤러,수정,가젯,밸런스,효과,향수,화면,기타,포코,상점,코드,조정,피해,혼자,추가,방어,계속,횟수,이상,대기,프랭크,포트,충돌,변경,게임,속도,차감,시즌,사용,의견,증가,가능,아이콘,대릴,가시,조물,발생,감소,유성우,스타,타격,방해,매우,개선,모드,특수,일반,회복,경기,거대,국가,표시,트로피,램프,종료,매치,사체,비비,초반,오류,신규,브롤러,부스터,폭발,활성화,크로우,발견,소요,벌침,타라,브롤,여러분,커브,공격,순간,다운,이동,내용,파워,대한,엠즈,겨냥,파괴,모든,범위,재키,구름,경우,문제,일부"
3,4,2020,3,26,"트랩,감소,슬링,점핑,물의,방해,게임,속도,면역,로보,롤러,수정,가젯,밸런스,효과,맥스,노이즈,더독,로봇,위치,모드,럼블,헤드폰,여러분,식물,덤불,일반,조준,조정,공격,피해,표시,드릴,램프,시간,플레이,종료,이동,증가,의견,내용,파워,대한,휴대,챔피언십,물이,오류,강제,로사,기압,포탑,육성,소환,관련,경우,문제,재키,린지,부스터,프랭크"
4,5,2020,3,23,"업데이트,충돌,확인,자신,변경,버튼,개선,선택,롤러,수정,가젯,직접,화면,상태,여러분,사항,상점,안내,준비,진행,의견,대한,크기,적용,오류,관련,문제,대기,발생,그래픽"
5,6,2020,3,19,"변경,게임,우선,수정,가젯,효과,타라,점검,페니,로봇,기타,티스,해당,모의,여러분,사망,특수,조준,플레이어,공격,토끼,친선,의견,조립,대한,적용,다시,금고,포탑,파괴,문제,재키,조물,프리"
6,7,2020,3,17,"회전,감소,스타,미스터,속도,모래,샌디,자갈,롤러,밸런스,맥스,여러분,특수,일반,초당,조정,공격,피해,시간,의견,짐꾼,내용,파워,대한,카트,돌풍,장전,증가"
7,8,2020,3,17,"회전,쾌속,제공,확인,먼지,통통,자신,스파이크,달성,사방,미스터,벌집,스타디움,몰리,친구,수량,뒤흔듭니,요술,롤러,점화,수정,참가,가젯,그녀,근처,보상,효과,맥스,향수,더독,패배,밸런스,스피너,기타,포코,기능,다이너마이트,럼블,쉘리,헤드폰,적도,포함,덤불,상점,조준,발사,플레이어,슈퍼,등장,팬케이크,조정,이제,마이크,피해,접촉,친선,피젯,예비,레벨,데미지,지면,영사기,추가,방어,누구,짐꾼,소리굽쇠,스니커즈,구덩이,이상,기압,파고,내의,장전,사기,가열,시럽,프랭크,프리,충격파,포트,업데이트,도움,일부,쟁취,득점,변경,이하,게임,속도,호의,나선형,공개,영광,로보,계정,마스코트,리코,방석,노이즈,일시,터렛,사랑,가득,가장,사용,비타민,칵테일,여러,교란,이면,포인트,상대,현재,드릴,핀볼,슈퍼셀,플레이,공중,이용,실드,의견,방향,보호,제거,다음,카트,플렉스,일정량,대릴,다시,보충,가시,벌꿀,오프라인,육성,전기,조기,경우,린지,지뢰,보너스,어깨,호루스,바위,감소,슬링,콜트,스타,라면,피해량,방해,여파,상승,서비스,레온,부활,면역,샌디,승리,로켓,토템,아군,듀오,웅덩이,조건,주변,대포,티켓,페니,초대,순간이동,모드,경기장,돌진,주위,특수,비트,일반,회복,설정,국가,발톱,해제,트로피,표시,램프,홀리,시스템,종료,반격,자리,카카오,여부,비비,가까이,스테이크,만듭니,스킨,치트키,크게,시작,오류,로사,안전모,가지,연동,이후,제시,평균,최대한,능력,브롤러,함정,오직,충족,위해,부스터,스타즈,프레임,혼합물,보석,에너지,흔듭니,치유,폭발,초능력,대학생,동안,조각,모델링,즉시,발리,직후,너구리,크로우,발견,탄환,마치,이벤트,전부,타라,티스,회전기,브롤,수면,지속,여러분,바늘,식물,하나,유도,삭제,콤보,초당,공격,순간,토끼,솔로,진행,거리,다운,아래,코치,위상,이동,가동,스프라우트,내용,감기,파워,대한,게이지,바닥,휴대,적용,엠즈,충전,무료,기절,은하수,주기,파괴,상자,파동,통탄,초희,육즙,모든,드림,브록,장치,재키,범위,증가,플러그,증폭기,자동,문제,환영"
8,9,2020,3,10,"업데이트,감소,해결,갈수,최소,개선,도달,밸런스,불균형,걱정,해당,즐거움,최대,시즌,또한,작업,금식,조정,트로피,손실,조정은,보전,시스템,종료,의견,적용,한정,다음,중이,랭크,감사,예정,지난,모든,문제,위해,발생,선사,노력"
9,10,2020,2,25,"감소,스타,부활,롤러,탄환,밸런스,효과,개수,포코,여러분,비트,회복,테라,조정,피해,의견,내용,파워,대한,대릴,뮤직,후프,증가,보너스,강철,라이프"
